"city_name","city_id"
"Vijayawada","321"
"Jammu","322"
"Mangalore","323"
"Hubli","324"
"Kochi","325"
"Thiruvananthapuram","326"
"Noida","327"
"Ghaziabad","328"
"Varanasi","329"
"Tinsukia","330"
"Panaji","331"
"Gandhidham","332"
"Mandi","333"
"Mohali","334"
"Kamrup","335"
"Nagaon","336"
"Jorhat","337"
"Dibrugarh","338"
"Silchar","339"
"Jagdalpur","340"
"Korba","341"
"Mehsana","342"
"Kangra","343"
"Thrissur","344"
"Chandrapur","345"
"Shillong","346"
"Khanna","347"
"East Sikkim","348"
"Kunjaban","349"
"Meerut","350"
"Gorakhpur","351"
"Jhansi","352"
"Roorkee","353"
"Haldwani","354"
"Asansol","355"
"Maldah","356"
"Vasco Da Gama","357"
"Vapi","358"
"Perinthalmanna","359"
"Shivali","360"
"Rajahmundry","361"
"Durg","362"
"Junagadh","363"
"Himatnagar","364"
"Hospet","365"
"one","366"
"Faizabad","367"
"Nicobar Islands","368"
"Tirupati","369"
"Bongaigaon","370"
"Golaghat","371"
"Muzaffarpur","372"
"Palanpur","373"
"Nagrota","374"
"Udhampur","375"
"Gonikoppal","376"
"Murudeshwara","377"
"Latur","378"
"Ratnagiri","379"
"Angul","380"
"Mandi Gobindgarh","382"
"Nawanshahr","383"
"Rupnagar","384"
"Rudrapur","385"
"Pali","386"
"Sikar","387"
"Nagercoil","388"
"Sivakasi","389"
"Tiruppur","390"
"Azamgarh","391"
"Bareilly","392"
"Greater Noida","393"
"Mathura","394"
"Moradabad","395"
"Muzaffarnagar","396"
"Bardhaman","397"
"Howrah","398"
"Guna","399"
"Basti","400"
"Bargarh","401"
"Bundi","402"
"Bijnor","403"
"Dabra","404"
"Deoria","405"
"Hanumangarh","406"
"Kayamkulam","407"
"Silvassa","408"
"Dumka","409"
"Hooghly","410"
"Jharsuguda","411"
"Shahjahanpur","412"
"Surguja","413"
"Uttar Dinajpur","414"
"Zirakpur","415"
"Yavatmal","416"
"Vaijnath","417"
"Nadia","418"
"Nagaur","419"
"Sundergarh","420"
"Pratapgarh","421"
"Hingoli","422"
"Godhra","423"
"Dakshin Dinajpur","424"
"Bhuj","425"
"Murshidabad","426"
"Muvattupuzha","427"
"Navi Mumbai","428"
"Banswara","429"
"Chittorgarh","430"
"Saharanpur (UP)","431"
"Uthangudi","433"
"Jeypore","434"
"Jorabat","435"
"Mayurbhanj","436"
"Bokakhat","438"
"Cooch Behar","439"
"Aluva","441"
"Hosur","442"
"Bhimavaram","443"
"North lakhimpur","444"
"Begusarai","445"
"Ambikapur","446"
"Baramati","447"
"Panvel","448"
"Bharatpur","449"
"Rajsamand","450"
"Sahibabad","451"
"Ramagundam","452"
"Shahbad","453"
"Narwana","454"
"Urmar Tanda","455"
"Barnala","456"
"Nakodar","457"
"Amb","458"
"Churu","459"
"Burhanpur","460"
"Attingal","461"
"Krishnanagar","463"
"Renukoot","464"
"Sultanpur","465"
"Dhaleshwar","466"
"Pattukkottai","467"
"Bodh gaya","468"
"Damtal","469"
"Ulhasnagar","470"
"Arrah","471"
"Bastar","472"
"Medininagar","473"
"Gossaigaon","474"
"Jaunpur","475"
"Motihari","476"
"Narnaul","477"
"Nawada","478"
"Ongole","479"
"Purnia","480"
"Siwan","481"
"Naharlagun","482"
"Nirjuli","483"
"Duliajan","484"
"Kalyan","485"
"Verna","486"
"Mahe","487"
"Punjagutta","488"
"Karaikal","489"
"Pimpri chinchwad","490"
"Vashi","491"
"Rajnagar","492"
"Bardoli","493"
"Tura","494"
"Beed","495"
"Palwal","496"
"Robertsganj","497"
"Jhunjhunu","498"
"Darbhanga","499"
"Vasai","501"
"Sangamner","502"
"Rajpura","503"
"Pollachi","504"
"Ramgarh","505"
"Kakinada","506"
"Thiruvalla","507"
"Manesar","508"
"Kozhencherry","509"
"Changanassery","510"
"Pala","511"
"Thalayolaparambu","512"
"Cherthala","513"
"Kattappana","514"
"Thodupuzha","515"
"Bahadurgarh","516"
"Ooty","517"
"Wayanad","518"
"Waidhan","519"
"Dasuya","520"
"Barpeta","521"
"Jagiroad","522"
"Pakur","523"
"Sasaram","524"
"Angamaly","525"
"Jaigaon","526"
"Mapusa","527"
"Deoghar","528"
"Nuvem","529"
"Karunagappally","530"
"Tirur","531"
"Porvorim","532"
"Hardoi","533"
"Kavaratti","534"
"Panagarh","535"
"Anantnag","536"
"Kashipur","537"
"Dhubri","538"
"Koraput","539"
"Dhamtari","540"
"Karikkad","541"
"Unjha","542"
"Gondia","543"
"Nandurbar","544"
"Sasthamkotta","545"
"Sawai madhopur","546"
"Kumbakonam","547"
"Hoskote","548"
"Dahegam","549"
"Payyanur","550"
"Chaksu","551"
"Dahod","552"
"Kottarakkara","553"
"Gopeshwar","554"
"Bulandshahr","555"
"Chirala","556"
"Mainpuri","558"
"Kalka","559"
"Punalur","560"
"Balotra","561"
"Kavathe-Mahankal","562"
"Bhandara","563"
"Ranni","564"
"Tonk","565"
"Anekal","566"
"Pulwama","567"
"Cherpulassery","568"
"Lohardaga","569"
"Dehra gopipur","570"
"Phagwara","571"
"Moodabidri","572"
"Valvada","573"
"Osmanabad","574"
"Raiganj","575"
"Hathras","576"
"Red hills","577"
"Gonda","578"
"Suratgarh","579"
"Raigarh","580"
"Triprayar","581"
"Mavelikara","582"
"Kaipamangalam","583"
"Moosapet","584"
"Thiruvarur","585"
"Rahata","586"
"Miraj","587"
"Godda","588"
"Gudivada","589"
"Nuzvid","590"
"Ballabhgarh","591"
"Bhachau","592"
"Gharaunda","593"
"Chiplun","594"
"Jalna","595"
"Taliparamba","596"
"Kheralu","597"
"Baran","598"
"Boisar","599"
"Dombivli","600"
"Chamba","601"
"Tripunithura","602"
"Visnagar","603"
"Belthangady","604"
"Ranbir Singh Pura","605"
"Bolangir","606"
"Rangat","607"
"Akbarpur","608"
"Surathkal","609"
"Baramulla","610"
"Jagtial","611"
"Pattambi","612"
"Baripada","613"
"Karkala","614"
"Unnao","615"
"Banga","616"
"Naraingarh","618"
"Akhnoor","620"
"Baharampur","621"
"Zira","622"
"Mettupalayam","623"
"Radaur","624"
"Modasa","625"
"Dholka","626"
"Kanhangad","627"
"Baraut","628"
"Anpara","629"
"Sinnar","630"
"Sohna","631"
"Gadhinglaj","632"
"Eluru","633"
"Dhenkanal","634"
"Tanda","635"
"Baloda Bazar","636"
"Rajim","637"
"Contai","638"
"Singrauli","639"
"Orai","640"
"Jagraon","641"
"Nilambur","642"
"Hajipur","643"
"Washim","644"
"Rajnandgaon","645"
"Dharmanagar","646"
"Neyyattinkara","647"
"Shahpura","648"
"Kodungallur","649"
"Patan","650"
"Vijapur","651"
"Paonta sahib","652"
"Adoor","653"
"Gohana","654"
"Mahasamund","655"
"Machhiwara","656"
"Cheeka","657"
"Kekri","658"
"Ramanagara","659"
"Wagholi","660"
"Barmer","661"
"Fazilka","663"
"Mulki","664"
"Danapur","665"
"Ballia","666"
"Garhshanker","667"
"Kundli","668"
"Kengeri","669"
"Dungarpur","670"
"Sirohi","671"
"Nayagarh","672"
"Kudal","673"
"Irinjalakuda","674"
"Dera Bassi","675"
"Kalamassery","676"
"Jaggaiahpeta","677"
"Nilamel","678"
"Talwara","679"
"Santrampur","681"
"Akluj","682"
"Gobichettipalayam","683"
"Kharar","684"
"Samalkha","685"
"Kupwara","687"
"Edapal","688"
"Jhalawar","689"
"Kundapur","690"
"Dausa","691"
"Kotputli","692"
"Kunnamkulam","693"
"Mahilpur","694"
"Patas","695"
"Veraval","696"
"Janjgir-Champa","697"
"Manjeri","698"
"Parbhani","699"
"Kankavli","700"
"Behror","701"
"Karwar","702"
"Malegaon","703"
"Canacona","704"
"Rampur","705"
"Pataudi","706"
"Safidon","707"
"Assandh","708"
"Khliehriat","709"
"Rajapalayam","710"
"Kalol","711"
"Jassur","712"
"Taleigao","713"
"Kathua","714"
"Bankura","715"
"Vadakara","716"
"Modinagar","717"
"Beawar","719"
"Giridih","720"
"Khopoli","721"
"Jandiala guru","722"
"Puttur","723"
"Gangavati","724"
"Vaduj","725"
"Karaikudi","726"
"Narasaraopet","727"
"Kothamangalam","728"
"Budaun","729"
"Mancherial","730"
"Suri","731"
"Hansi","733"
"Shrirampur","734"
"Indapur","735"
"Kothagudem","736"
"Perumbavoor","737"
"Malout","738"
"Amreli","739"
"Wadakkanchery","740"
"Haldia","741"
"Sullia","742"
"Jalalabad","743"
"Mundra","744"
"Didwana","745"
"Banda","746"
"Jangareddygudem","747"
"Waluj","748"
"Nurpur","749"
"Ichalkaranji","750"
"Karad","752"
"Vettichira","753"
"Bavla","754"
"Tiptur","755"
"Ponda","756"
"Botad","757"
"Kottakkal","758"
"Sindhanur","759"
"Narayangaon","760"
"Gondal","761"
"Nirmal","762"
"Mahoba","763"
"Chomu","764"
"Patran","765"
"Pasighat","766"
"Alibag","767"
"Ramanattukara","768"
"Chhapra","769"
"Nagole","770"
"Kanjirappally","771"
"Kokrajhar","772"
"Dhemaji","773"
"Nongpoh","774"
"Birbhum","775"
"Madhyamgram","776"
"Chengalpattu","777"
"Palayamkottai","778"
"Tamluk","779"
"Barasat","780"
"Pehowa","781"
"Mahad","782"
"Mansa","783"
"Hodal","784"
"Purulia","785"
"Bhawanipatna","786"
"Lalitpur","787"
"Thamarassery","788"
"Mannarkkad","789"
"Chikkaballapur","790"
"Kishangarh","791"
"Meham","792"
"Saswad","793"
"Sitapur","794"
"Bijolia","795"
"Tiruchengode","796"
"Farrukhabad","797"
"Dahanu","799"
"Neem-Ka-Thana","800"
"Fatehnagar","801"
"Sirhind-Fategarh","802"
"Karjat","803"
"Sirsi","804"
"Fatehpur","805"
"Chirawa","806"
"Sulur","807"
"Arambag","808"
"Kannauj","809"
"Nabha","810"
"Bolpur","811"
"Bangaon","812"
"Shirur","813"
"Amod","814"
"Chengannur","815"
"Thrithallur","816"
"Nathdwara","817"
"Doraha","818"
"Brahmapuri","819"
"Palsana","820"
"Kadi","821"
"Barabanki","822"
"Rayagada","823"
"Jagadhri","824"
"Chinsurah","825"
"Jaisalmer","826"
"Chalakudy","827"
"Muttom","828"
"Koyilandy","829"
"Parassala","830"
"Virar","831"
"Nohar","832"
"Biaora","833"
"Shrigonda","834"
"Kavali","835"
"Wani","836"
"Samastipur","837"
"Una","838"
"Machilipatnam","839"
"Bahraich","840"
"Basirhat","841"
"Mayiladuthurai","842"
"Pandharpur","843"
"Karimganj","844"
"Chikodi","845"
"Morigaon","846"
"Chavakkad","847"
"Uppinangady","848"
"Vaikom","849"
"Sharif Bihar","850"
"Nongstoin","851"
"Kallambalam","852"
"Bodeli","853"
"Nagoa","854"
"Papum Pare","855"
"Barshi","856"
"Hapur","857"
"Kasganj","858"
"Katihar","859"
"Mohania","860"
"Rath","861"
"Sagwara","862"
"Sri Muktsar Sahib","863"
"Gokak","864"
"Bhadrak","865"
"Gajraula","866"
"Baharagora","867"
"Uluberia","868"
"Jowai","869"
"Palus","870"
"Bhavani","871"
"Shikohabad","872"
"Unchahar","873"
"Dhrangadhra","874"
"Marthandam","875"
"Sillod","876"
"Omalur","877"
"Kushalanagar","878"
"Madikeri","879"
"Hindupur","880"
"Sumerpur","881"
"Gumla","882"
"Kotdwara","883"
"Rohru","884"
"Deoli","885"
"Uppala","886"
"Sultanpur Lodhi","887"
"Dharapuram","888"
