city_id_city,pincode_id
1,744101
2,504001
3,515001
4,517001
5,507130
6,522001
7,500001
8,505001
9,507001
10,520001
11,518001
12,509001
13,502001
14,508001
15,524001
16,503001
17,523001
18,532001
19,530001
20,506001
21,534001
22,782440
23,790114
24,792110
25,790001
26,791111
28,786171
29,781005
30,781001
31,788819
32,781102
33,785105
34,784154
35,812001
36,804403
37,800001
38,160001
39,490020
40,495001
41,492001
43,369210
44,362520
45,403002
46,380001
47,387210
48,393001
49,391810
50,364001
51,370001
52,382006
53,360480
54,387620
55,363641
56,387001
57,396040
58,360545
59,360001
60,393145
61,394101
62,363001
63,390001
64,396001
65,133001
66,127021
67,121001
68,125048
69,122001
70,124102
71,126101
72,136020
73,132001
74,136030
75,123001
76,133301
77,132101
78,123035
79,124001
80,125054
81,131001
82,133103
83,176304
84,172002
85,171001
86,171102
87,193403
88,194104
89,194101
90,192126
91,190001
92,831013
93,825102
94,826001
95,825301
96,831001
97,829205
98,586113
99,560001
100,590001
101,583101
102,585226
103,586101
104,571109
105,577101
106,577501
107,571201
108,574109
109,577001
110,582101
111,585101
112,573101
113,581101
114,561206
115,583226
116,571401
117,570001
118,584101
119,577115
120,561202
121,574101
122,581121
123,686103
124,682001
125,685501
126,673121
127,670001
128,671121
129,689695
130,686001
131,673001
132,678001
133,686510
134,682551
135,484113
136,473338
137,481001
138,451442
139,460001
140,477001
141,462001
142,480001
143,470661
144,475335
145,455001
146,454001
147,481672
148,474001
149,461228
150,461001
151,452001
152,482001
153,457661
154,483222
155,450001
156,451001
157,481661
158,458001
159,476001
160,487001
161,458110
162,488001
163,464551
164,465661
165,457001
166,486001
167,470001
168,485001
169,466001
170,480661
171,484110
172,465001
173,476332
174,473551
175,486661
176,472001
177,456001
178,484001
179,464001
181,444001
182,444601
183,423701
184,424001
185,424102
186,415101
187,412806
188,400001
189,440001
190,431601
191,422001
192,410301
193,415301
194,412801
195,413001
196,400601
197,442001
198,795124
199,795102
200,795006
201,795001
202,795001
203,795007
204,795125
205,795142
206,793002
207,793109
208,793101
209,794102
210,794002
211,793114
212,796001
213,796070
214,796571
215,796410
216,796001
217,796101
218,797103
219,797001
220,798601
221,798602
222,797102
223,798612
224,797099
225,798619
226,756001
227,753019
229,753001
230,769001
231,768001
232,605001
233,143001
234,140118
235,151202
236,143506
237,144105
238,144001
239,144033
240,141001
241,142001
242,140124
243,145023
244,140201
245,140802
246,148001
247,305001
248,301001
249,311001
250,331801
251,302001
252,342001
253,324001
254,307025
255,737101
256,737111
257,737121
258,737116
259,737113
260,737128
261,737113
262,600001
263,641001
264,606001
265,635201
266,624001
267,638001
268,600046
269,629002
270,621301
271,635001
272,625001
273,609003
274,636142
275,607801
276,621101
277,613301
278,623115
279,636001
280,623402
281,609804
283,625203
284,628214
285,620001
286,627001
287,600019
288,604401
289,604407
290,605103
291,626001
292,799001
293,282001
294,202001
295,211001
296,224123
297,247554
298,206001
299,208001
300,226001
301,231001
302,244715
303,263619
304,246401
