v_model_name,v_model_id
275 TU XP Plus,6196
280,6218
280 DI 4WD,7780
280 DX,5904
2820 6x2 MAV,6347
2820 6x4 MAV,6710
2820 Drill Rig,6708
2820 RMC,6709
2820 Tipper,6711
2823C,6255
2823R,6256
2823RT,10014
2825 Drill Rig,6706
2825 RMC,6707
2826C,10007
2828C,6257
2828C Transit Mixer,8924
2828CH,6258
283,7367
283 8G,8354
2832 Tipper 6x4,8902
296 GTB,9530
296 GTS,8925
3,6699
3 Disc Decaf,9109
3 Disc Shimano Sora,9110
3 Door,513
3 Series 2005-11,72
3 Series 2011 15,58
3 Series 2015-19,81
3 Series Gran Limousine,5458
3 Series GT,63
3-Series,75
300,1009
300 NK,7500
300NK,1288
300SR,1292
3016 SN,8346
302 S,1248
3028EN,6103
302R,8517
3032 NX,5801
3035 DI,6236
3035 E,8337
3035E,5830
3036E,8168
3036E 4WD,5912
3036EN,6224
3036EN 4WD,5915
3037 NX,5870
3037 TX,5841
3040 DI,6235
3040 E,8338
3040E,5760
3042 E,8330
3042E,5831
3048 DI,6237
3049,5724
3055 DI,6231
3055 NV,6107
3065,8325
3065 DI,6110
3075 DI,6219
309,998
3090 DI,6088
312,5899
3120 6x2 DTLA,8901
3123 8x4,8896
3123R,10003
3124 8x4,8564
320 FS,9111
320 S,8519
321 FS ACERA DISK 24S HYBRID,9687
321 FS Lady,9112
3230 NX,5775
3230 TX,5842
326 HYBRID SRAM EAGLE 12 SPD,9689
333,5907
333 Super Plus,8269
350,1392
350D,9744
350E,9743
350R,9565
350T,9516
350X,9566
350Z,540
3510,5770
3520 8x2 LA MAV,6705
3520 8x2 Twin Steering MAV,6704
3520 Tipper 8x2,6349
3520 Tipper 8x4,6703
3523R,6259
3523RT,10004
3525 RMC,6702
3525 Tipper,6350
3525.K/.TK,8565
3528C,6260
3528CM,6261
3532 Tipper 8x4,8922
3532CM,10015
3549,5764
360 M,7536
3600 TX,5782
3600 Tx Heritage Edition,8281
3600 Tx Super Heritage Edition,8287
3600-2 Excel,8291
3600-2 TX,5727
3600-2 TX All Rounder Plus+,8278
3600-2 Tx Super,8284
3600-2TX,8288
36002 Tx,5986
3630 TX,5725
3630 TX Plus,8279
3630 Tx Special Edition,8277
3630 TX Super Plus+,8283
3630-TX Super,8280
364,5900
368,5909
370Z,556
371 Super Power,8271
380,5893
380 2WD Prima G3,9032
380 4WD Prima G3,9031
3828R,9519
390 Adventure,1538
390 Duke,1529
390 Duke 2013 2016,3084
390 Duke 2024,11730
390 Duke ABS,1519
390 Rally,9266
4,9709
4 Series,48
4 Series Gran Coupe,9017
4 To 6 Years 16 Inch Robot,3474
4 To 6 Years Darkhero 500,3478
4-6 YEARS INUIT 100,3481
4008,997
4010,5769
402 S,1246
4020 4X2 Tractor,6351
4023T,6262
4028T,8585
4032T,10009
4049,5832
4055 E,8339
4060 E,8340
407 Gold 29WB,9330
407 Gold 33 WB RJ,6415
407 Gold SFC,6414
407g SFC,8566
4110 DI,6131
4120 8x2 DTLA,6845
4125 8x2 DTLA MAV,8900
415 DI,8123
415 DI SP Plus,5756
415 DI XP Plus,6054
4175 DI,6220
4190 DI,6089
42 2.1,9779
42 Bobber,9563
4215 E,5820
4220 10x2 MAV,6352
4220 Tipper 10x2,6829
4220 Tipper 10x4,6844
4225 10x2 MAV,6353
4225 Tipper 10x2,6832
4225 Tipper 10x4,6831
4228R,6263
4228R Tanker,8560
4228RT,10005
425 DS,8230
425 N,5748
430 PLUS,5751
43118 6X6,6307
43253 4X2,6308
4326 4X4,6309
434,5710
434 DS Super Saver,7389
434 Plus PowerHouse,8204
434 RDX,8265
435 Plus,5934
437,5928
439,5709
439 DS Super Saver,7390
439 Plus,8200
439 Plus Powerhouse,8229
439 RDX,8203
44108 6X6,6310
445 PLUS,5750
45 Classic,7378
45 Classic Pro,7385
45 EPI Classic Pro,8180
45 Executive Ultramaxx,8188
45 Smart,7377
45 Ultramaxx,7383
450,1131
450 ADV,7666
450 Plus 2021-2022,7792
450 Plus Gen 3,9478
450S,9976
450SR,8536
450X,9477
450X 2021-2022,3152
4510,8285
45141 6X6,6311
4515 E,5821
4549,5761
4549 CR,5765
458 Italia,275
458 Speciale,279
458 Spider,270
45X,647
4620 4X2 Tractor,6354
4710,5837
4710 Turbo Super,8286
4710 WITH CANOPY,8290
475 DI,8114
475 DI SP Plus,5939
475 DI XP Plus,6195
480,5908
4825 10x2 DTLA MAV,6827
4825 Tipper,6355
4825 Tipper 10x4 Bogie Suspension,8899
4828R,9520
4828RT,10006
485,5905
488 GTB,265
490 Adventure,8003
490 Duke,7969
4D34i School Bus,8757
4D34i Staff Bus,8872
4D34i Tourist Bus,8784
4S,2095
4S Champion,1174
4U,2151
5 Door,518
5 EV,9716
5 Series 2003 12,61
5 Series 2007-10,50
5 Series 2010-13,76
5 Series 2013-17,47
5-Series,84
5-Series 2021,6694
50 Classic EPI Pro,7382
50 E,8341
50 EPI PowerMaxx,8181
50 Smart,7384
500,315
500 FL8J,6305
500 FM8J,6306
5015 E,5819
502 C,1250
5025 R Branson,5737
5028T,6264
5032T,10010
5036D,5903
5038 D,8170
5039 D,8154
5039D Power Pro,6092
5042 D,8148
5042D Power Pro,6221
5045 D,8149
5045D Power Pro,6091
5050D,6112
5050E,8166
5055E,8165
5060,6096
5060 E,8159
5065,6094
5065 GearPro,5823
5075,6222
5075 GearPro,5917
5075E,8155
508,996
510 SFC TT,6416
5105,6105
5118,5729
5150 SUPER DI,8270
520 Disc,4732
5205,6227
5205 2WD,5913
5210,5818
5210 E,8164
5210 Gear Pro,6099
5225 4X2,6826
5225 Trailer,6356
5228T,6265
5245 DI,5728
5245 DI PLANETARY PLUS V1,8144
5245 MAHA MAHAAN,8146
5305,6090
531,5778
5310,6097
5310 Perma Clutch,8156
5310 Trem IV,8169
53215 6X4,6312
53228 6X6,6928
53229 6X4,6313
536,5849
53605 4X2,6314
540,5846
5405,6095
5405 GearPro,5822
5405 Trem IV,8158
5425 4x2,6825
5425 Trailer,6357
5428T,6858
5432T,10011
545,5776
5460 4X2,6315
548,5897
5490 4X2,6316
550,5847
550 NG 4WD,7363
550 NG 4X4,5943
5500 Turbo Super,5848
551,5895
5525 4x2,6358
5525 6x4 Trailer,6824
5528T,6266
5532T 4X2,10012
5532T 6X4,10017
557,5894
557 2WD Prima G3,9030
557 4WD Prima G3,9029
5620 TX Plus,5851
5630 TX Plus,5873
5660,5898
5660 SUPER DI,8268
57 S,829
5724 S,8345
575 DI,8115
575 DI SP Plus,5744
575 DI XP Plus,6053
585 DI Power Plus BP,8118
585 DI Sarpanch,8127
585 DI XP Plus,6194
595 DI TURBO,8129
599 GTB Fiorano,276
6 Series,64
6 Series 2008 11,67
6 Series 2008-2011,53
6 To 8 Years Original 100,3479
6 To 8 Years Original 100 20 Turquoise,3480
60,6245
60 Classic,7376
60 Classic EPI T20,7380
60 Classic Pro,7379
60 Classic Pro Valuemaxx,8195
60 EPI Supermaxx,7381
60 EPI T20,7375
60 PowerMaxx,8179
600 RR,7670
6016 H LP Chassis,8971
6016 M LP Chassis,7405
6016 M LPO,8754
6016 M LPO Chassis,8726
6016 N LPO,8750
6016 N LPO Chassis,8727
6016 R LPO Chassis,8724
6024 S,5916
6028,5942
6037,5892
6045,5890
6049,5762
6049 NT,5766
6050,5906
6050 Executive 4X4,6243
6050 Ultramaxx,7373
6055 Classic Pro,7372
6055 Classic T20,8190
6055 PowerMaxx,8182
