pincode,city_id
744101,1
744102,1
744108,1
744109,1
744110,1
744111,1
744112,1
504001,2
504002,2
504101,2
504102,2
504103,2
504104,2
504105,2
504107,2
504109,2
504110,2
504201,2
504202,2
504203,2
504204,2
504205,2
504206,2
504207,2
504209,2
504214,2
504215,2
504216,2
504218,2
504219,2
504220,2
504231,2
504251,2
504272,2
504273,2
504292,2
504293,2
504294,2
504295,2
504296,2
504297,2
504299,2
504301,2
504302,2
504303,2
504304,2
504306,2
504307,2
504308,2
504309,2
504310,2
504311,2
504312,2
504313,2
504323,2
504346,2
504003,2
504217,2
504232,2
504305,2
504318,2
504319,2
504321,2
504322,2
504324,2
504325,2
504327,2
504330,2
504340,2
504342,2
504343,2
504344,2
515001,3
515002,3
515003,3
515004,3
515005,3
515701,3
515721,3
515731,3
515102,3
515161,3
515213,3
515214,3
515232,3
515233,3
515282,3
515292,3
515302,3
515306,3
515307,3
515322,3
515332,3
515404,3
515409,3
515416,3
515419,3
515421,3
515422,3
515426,3
515427,3
515446,3
515456,3
515457,3
515458,3
515466,3
515502,3
515566,3
515572,3
515583,3
515662,3
515712,3
515736,3
515752,3
515762,3
515813,3
515814,3
515823,3
515824,3
515833,3
515834,3
515835,3
515843,3
515844,3
515862,3
515866,3
517001,4
517002,4
517004,4
517101,4
517102,4
517112,4
517113,4
517123,4
517124,4
517125,4
517126,4
517127,4
517128,4
517129,4
517130,4
517131,4
517132,4
517152,4
517167,4
517172,4
517192,4
517193,4
517194,4
517213,4
517214,4
517234,4
517235,4
517236,4
517237,4
517247,4
517257,4
517277,4
517280,4
517291,4
517297,4
517299,4
517305,4
517319,4
517326,4
517350,4
517351,4
517352,4
517370,4
517390,4
517391,4
517401,4
517403,4
517408,4
517414,4
517415,4
517416,4
517417,4
517418,4
517419,4
517421,4
517422,4
517423,4
517424,4
517425,4
517426,4
517429,4
517432,4
517501,4
517502,4
517504,4
517505,4
517506,4
517507,4
517520,4
517526,4
517536,4
517541,4
517551,4
517561,4
517569,4
517571,4
517581,4
517582,4
517583,4
517584,4
517586,4
517587,4
517588,4
517589,4
517590,4
517591,4
517592,4
517599,4
517619,4
517620,4
517640,4
517641,4
517642,4
517643,4
517644,4
517645,4
515412,4
517003,4
517103,4
517104,4
517105,4
517106,4
517107,4
517108,4
517109,4
517110,4
517111,4
517114,4
517115,4
517116,4
517117,4
517118,4
517133,4
517134,4
517135,4
517136,4
517137,4
517138,4
517139,4
517140,4
517141,4
517142,4
517143,4
517144,4
517145,4
517146,4
517147,4
517148,4
517149,4
517150,4
517151,4
517153,4
517154,4
517160,4
517161,4
517162,4
517163,4
517164,4
517165,4
517166,4
517173,4
517195,4
517196,4
517197,4
517198,4
517199,4
517215,4
517216,4
517217,4
517218,4
517238,4
517239,4
517240,4
517241,4
517242,4
517248,4
517249,4
517250,4
517258,4
517259,4
517260,4
517278,4
517292,4
517298,4
517301,4
517302,4
517327,4
517330,4
517431,4
517514,4
517515,4
517516,4
517517,4
517527,4
517562,4
517564,4
517565,4
517566,4
517567,4
517621,4
517646,4
507130,5
533001,5
533002,5
533003,5
533004,5
533005,5
533006,5
533016,5
533102,5
533104,5
533105,5
533124,5
533125,5
533126,5
533210,5
533211,5
533212,5
533213,5
533214,5
533215,5
533216,5
533217,5
533218,5
533220,5
533221,5
533222,5
533223,5
533228,5
533229,5
533232,5
533233,5
533234,5
533235,5
533236,5
533237,5
533238,5
533239,5
533240,5
533241,5
533244,5
533247,5
533248,5
533249,5
533250,5
533251,5
533252,5
533253,5
533254,5
533255,5
533256,5
533260,5
533261,5
533262,5
533263,5
533264,5
533274,5
533284,5
533285,5
533286,5
533287,5
533288,5
533289,5
533290,5
533291,5
